date,state_id,deaths,new_positive_tests,new_negative_tests,new_hospitalizations
2020/10/13,1,60,155,8707,0
2020/10/13,2,2665,1117,5737,261
2020/10/13,3,1611,680,7118,109
2020/10/13,4,0,0,0,0
2020/10/13,5,5767,684,6286,55
2020/10/13,6,16581,2378,139998,0
2020/10/13,7,1998,576,5569,22
2020/10/13,8,4533,320,13084,0
2020/10/13,9,637,46,4216,0
2020/10/13,10,659,105,1366,0
2020/10/13,11,15722,2725,23416,212
2020/10/13,12,7454,993,11429,106
2020/10/13,13,61,96,582,0
2020/10/13,14,169,42,0,4
2020/10/13,15,1485,529,2200,0
2020/10/13,16,510,597,1783,17
2020/10/13,17,9272,2851,53142,0
2020/10/13,18,3822,1549,6522,131
2020/10/13,19,771,0,0,0
2020/10/13,20,1269,761,25439,138
2020/10/13,21,5679,682,19900,0
2020/10/13,22,9630,749,13112,17
2020/10/13,23,4012,482,8392,43
2020/10/13,24,143,28,23112,0
2020/10/13,25,7255,1466,36996,0
2020/10/13,26,2204,1135,9974,79
2020/10/13,27,2422,0,0,0
2020/10/13,28,2,0,0,0
2020/10/13,29,3115,713,0,0
2020/10/13,30,217,486,8707,7
2020/10/13,31,3816,1734,25035,0
2020/10/13,32,260,508,898,27
2020/10/13,33,522,457,3098,17
2020/10/13,34,456,136,4138,6
2020/10/13,35,16182,988,0,71
2020/10/13,36,915,379,5154,25
2020/10/13,37,1674,487,2022,0
2020/10/13,38,25598,1393,97677,0
2020/10/13,39,5017,1447,35370,123
2020/10/13,40,1119,1309,31705,-19
2020/10/13,41,605,313,5709,13
2020/10/13,42,8384,1342,15387,0
2020/10/13,43,738,306,0,0
2020/10/13,44,1139,129,1465,0
2020/10/13,45,3576,828,12836,54
2020/10/13,46,288,414,744,25
2020/10/13,47,2797,1147,12757,61
2020/10/13,48,16622,5289,55340,0
2020/10/13,49,522,987,7814,52
2020/10/13,50,3372,1235,19684,152
2020/10/13,51,20,0,117,0
2020/10/13,52,58,10,835,0
2020/10/13,53,2190,0,0,0
2020/10/13,54,1518,3428,11262,147
2020/10/13,55,387,274,4958,0
2020/10/13,56,57,162,2703,5
2020/10/12,1,60,198,2732,0
2020/10/12,2,2665,734,3970,0
2020/10/12,3,1586,654,7844,50
2020/10/12,4,0,0,0,0
2020/10/12,5,5759,475,7567,4
2020/10/12,6,16572,3449,140888,0
2020/10/12,7,1998,819,9572,14
2020/10/12,8,4532,1339,99066,0
2020/10/12,9,637,38,2614,0
2020/10/12,10,656,159,3552,0
2020/10/12,11,15599,1533,15219,91
2020/10/12,12,7429,902,16185,21
2020/10/12,13,60,92,627,0
2020/10/12,14,169,101,0,6
2020/10/12,15,1472,463,2217,0
2020/10/12,16,507,365,1488,10
2020/10/12,17,9243,2742,44837,0
2020/10/12,18,3795,1574,8096,124
2020/10/12,19,771,2055,9837,54
2020/10/12,20,1255,638,27753,27
2020/10/12,21,5669,60,3337,0
2020/10/12,22,9617,760,18036,11
2020/10/12,23,4003,504,10087,49
2020/10/12,24,143,29,0,0
2020/10/12,25,7225,1932,48856,0
2020/10/12,26,2197,1171,9857,67
2020/10/12,27,2422,0,0,0
2020/10/12,28,2,0,0,0
2020/10/12,29,3101,296,0,184
2020/10/12,30,212,423,9777,12
2020/10/12,31,3773,1276,28288,0
2020/10/12,32,246,472,831,23
2020/10/12,33,519,495,2522,0
2020/10/12,34,456,51,1074,2
2020/10/12,35,16175,469,56356,12
2020/10/12,36,911,261,7460,6
2020/10/12,37,1664,569,2295,0
2020/10/12,38,25587,1029,90764,0
2020/10/12,39,5005,1430,37173,43
2020/10/12,40,1104,797,0,46
2020/10/12,41,599,205,3817,63
2020/10/12,42,8368,1088,11061,0
2020/10/12,43,735,563,0,0
2020/10/12,44,1137,81,1169,11
2020/10/12,45,3559,649,12510,22
2020/10/12,46,288,361,772,20
2020/10/12,47,2774,2965,36394,33
2020/10/12,48,16558,2648,61195,0
2020/10/12,49,522,988,3372,25
2020/10/12,50,3361,854,14332,88
2020/10/12,51,20,0,0,0
2020/10/12,52,58,8,881,0
2020/10/12,53,2190,0,0,0
2020/10/12,54,1484,2016,7815,56
2020/10/12,55,385,153,5339,0
2020/10/12,56,54,191,0,15
2020/10/11,1,60,258,3486,0
2020/10/11,2,2664,816,4998,0
2020/10/11,3,1569,613,8384,10
2020/10/11,4,0,0,0,0
2020/10/11,5,5759,597,9565,24
2020/10/11,6,16564,3803,164756,0
2020/10/11,7,1998,1023,10063,24
2020/10/11,8,4530,0,0,0
2020/10/11,9,637,66,7002,0
2020/10/11,10,654,132,2793,0
2020/10/11,11,15552,5570,26799,249
2020/10/11,12,7416,1140,17340,24
2020/10/11,13,60,22,133,0
2020/10/11,14,168,71,0,18
2020/10/11,15,1460,1075,4307,0
2020/10/11,16,507,613,2367,18
2020/10/11,17,9230,2727,61320,0
2020/10/11,18,3789,1570,9973,104
2020/10/11,19,763,0,0,0
2020/10/11,20,1252,847,0,0
2020/10/11,21,5655,1181,37600,0
2020/10/11,22,9604,563,15227,10
2020/10/11,23,3999,562,11480,52
2020/10/11,24,143,27,0,1
2020/10/11,25,7219,0,0,0
2020/10/11,26,2194,1440,16181,52
2020/10/11,27,2422,0,0,0
2020/10/11,28,2,0,0,0
2020/10/11,29,3101,294,0,0
2020/10/11,30,210,585,1024,7
2020/10/11,31,3770,1719,35716,0
2020/10/11,32,234,637,1213,14
2020/10/11,33,519,743,3746,27
2020/10/11,34,455,0,0,0
2020/10/11,35,16174,751,0,26
2020/10/11,36,907,481,9118,26
2020/10/11,37,1661,380,2981,0
2020/10/11,38,25574,1143,117111,0
2020/10/11,39,4999,1291,38173,44
2020/10/11,40,1098,766,0,20
2020/10/11,41,599,327,4308,0
2020/10/11,42,8350,1166,14205,0
2020/10/11,43,730,307,0,0
2020/10/11,44,1134,170,3829,16
2020/10/11,45,3552,785,13562,17
2020/10/11,46,286,617,1009,37
2020/10/11,47,2767,2068,29061,35
2020/10/11,48,16557,2418,54502,0
2020/10/11,49,517,1200,4477,31
2020/10/11,50,3358,811,17918,26
2020/10/11,51,20,1,186,0
2020/10/11,52,58,11,1636,0
2020/10/11,53,2190,475,23017,24
2020/10/11,54,1475,2713,7571,79
2020/10/11,55,382,215,5721,0
2020/10/11,56,54,156,0,0
2020/10/10,1,60,252,5931,0
2020/10/10,2,2664,1061,6867,190
2020/10/10,3,1552,2075,24422,95
2020/10/10,4,0,0,0,0
2020/10/10,5,5759,894,11731,30
2020/10/10,6,16500,4170,137778,0
2020/10/10,7,1998,834,10031,21
2020/10/10,8,4530,0,0,0
2020/10/10,9,636,75,6799,0
2020/10/10,10,653,171,3107,0
2020/10/10,11,15372,0,0,0
2020/10/10,12,7393,1237,18693,101
2020/10/10,13,59,67,254,0
2020/10/10,14,166,165,0,11
2020/10/10,15,1455,1084,4193,0
2020/10/10,16,506,662,3653,16
2020/10/10,17,9221,2905,63351,0
2020/10/10,18,3782,1918,9285,108
2020/10/10,19,763,0,0,0
2020/10/10,20,1249,989,10104,61
2020/10/10,21,5635,0,0,0
2020/10/10,22,9587,639,14573,15
2020/10/10,23,3995,636,11799,50
2020/10/10,24,143,30,0,2
2020/10/10,25,7219,1648,43645,0
2020/10/10,26,2184,1516,16045,51
2020/10/10,27,2422,5066,42982,0
2020/10/10,28,2,2,0,0
2020/10/10,29,3096,957,0,0
2020/10/10,30,209,718,1185,17
2020/10/10,31,3765,2321,37209,0
2020/10/10,32,234,588,1402,25
2020/10/10,33,519,1085,8880,18
2020/10/10,34,455,214,4609,3
2020/10/10,35,16171,864,34169,47
2020/10/10,36,902,485,5623,26
2020/10/10,37,1659,806,3903,0
2020/10/10,38,25569,1447,133132,0
2020/10/10,39,4997,1356,44539,54
2020/10/10,40,1095,1533,15635,94
2020/10/10,41,599,409,5518,0
2020/10/10,42,8344,1742,19675,0
2020/10/10,43,728,472,0,0
2020/10/10,44,1132,286,5504,32
2020/10/10,45,3551,945,16798,42
2020/10/10,46,286,732,1600,47
2020/10/10,47,2758,1646,22814,47
2020/10/10,48,16526,4230,80371,0
2020/10/10,49,510,1354,10492,55
2020/10/10,50,3354,1256,17689,91
2020/10/10,51,20,0,0,0
2020/10/10,52,58,11,729,0
2020/10/10,53,2190,642,20833,29
2020/10/10,54,1468,2971,11644,120
2020/10/10,55,381,206,10177,0
2020/10/10,56,54,120,0,6
2020/10/9,1,60,180,1719,0
2020/10/9,2,2653,1490,10506,0
2020/10/9,3,1503,0,0,0
2020/10/9,4,0,0,0,0
2020/10/9,5,5746,683,11699,28
2020/10/9,6,16428,3806,109068,0
2020/10/9,7,1997,863,9322,63
2020/10/9,8,4530,290,16991,0
2020/10/9,9,634,78,5331,0
2020/10/9,10,651,145,2720,0
2020/10/9,11,15372,2908,25496,196
2020/10/9,12,7348,1625,27883,124
2020/10/9,13,58,55,369,0
2020/10/9,14,164,101,0,6
2020/10/9,15,1437,1042,4722,0
2020/10/9,16,503,673,1941,25
2020/10/9,17,9191,3117,68781,0
2020/10/9,18,3761,1816,10229,111
2020/10/9,19,763,1855,8936,64
2020/10/9,20,1242,1001,23846,219
2020/10/9,21,5635,257,9615,0
2020/10/9,22,9577,765,18833,16
2020/10/9,23,3990,734,10334,58
2020/10/9,24,143,27,8410,1
2020/10/9,25,7200,1323,41853,0
2020/10/9,26,2174,1390,15593,64
2020/10/9,27,2395,2008,10472,0
2020/10/9,28,2,0,0,0
2020/10/9,29,3080,862,0,0
2020/10/9,30,206,722,4359,17
2020/10/9,31,3747,2034,40296,0
2020/10/9,32,234,656,1133,21
2020/10/9,33,514,663,3674,13
2020/10/9,34,449,0,0,0
2020/10/9,35,16164,865,35456,58
2020/10/9,36,899,384,8242,27
2020/10/9,37,1657,766,5270,0
2020/10/9,38,25561,1592,137708,0
2020/10/9,39,4994,1840,46392,101
2020/10/9,40,1091,1524,15577,102
2020/10/9,41,597,410,5883,14
2020/10/9,42,8308,1380,14662,0
2020/10/9,43,720,598,0,0
2020/10/9,44,1130,249,3498,13
2020/10/9,45,3530,921,21008,44
2020/10/9,46,277,804,2088,65
2020/10/9,47,2732,1556,25363,39
2020/10/9,48,16432,4036,38888,0
2020/10/9,49,505,1343,7683,53
2020/10/9,50,3344,1114,28747,88
2020/10/9,51,20,2,68,0
2020/10/9,52,58,8,1029,0
2020/10/9,53,2183,710,28284,30
2020/10/9,54,1451,3164,11834,138
2020/10/9,55,376,382,7581,0
2020/10/9,56,54,243,1326,4
2020/10/8,1,60,135,962,0
2020/10/8,2,2637,557,3520,74
2020/10/8,3,1503,1265,12903,65
2020/10/8,4,0,0,0,0
2020/10/8,5,5743,863,11551,121
2020/10/8,6,16361,3575,63342,0
2020/10/8,7,1990,731,8715,50
2020/10/8,8,4527,384,26829,146
2020/10/8,9,634,68,4092,0
2020/10/8,10,651,132,2197,0
2020/10/8,11,15254,3306,26741,228
2020/10/8,12,7294,1265,23669,78
2020/10/8,13,58,66,517,0
2020/10/8,14,163,108,0,5
2020/10/8,15,1421,1261,5719,0
2020/10/8,16,500,671,1999,40
2020/10/8,17,9159,3059,69432,0
2020/10/8,18,3742,1450,9024,107
2020/10/8,19,723,0,0,0
2020/10/8,20,1234,868,18600,135
2020/10/8,21,5609,524,11776,0
2020/10/8,22,9565,444,13626,23
2020/10/8,23,3979,761,11634,55
2020/10/8,24,142,35,6831,0
2020/10/8,25,7193,1401,40804,0
2020/10/8,26,2160,1271,14147,98
2020/10/8,27,2259,1505,10619,0
2020/10/8,28,2,0,0,0
2020/10/8,29,3074,578,0,0
2020/10/8,30,197,614,4875,31
2020/10/8,31,3722,2428,31254,0
2020/10/8,32,234,527,1207,21
2020/10/8,33,507,639,3497,32
2020/10/8,34,449,78,2422,2
2020/10/8,35,16160,1298,59559,124
2020/10/8,36,896,425,3960,16
2020/10/8,37,1649,480,3209,0
2020/10/8,38,25555,1836,143975,0
2020/10/8,39,4983,1539,29322,109
2020/10/8,40,1085,1212,13035,93
2020/10/8,41,594,482,5328,22
2020/10/8,42,8299,1376,17561,0
2020/10/8,43,715,526,0,0
2020/10/8,44,1127,269,6695,16
2020/10/8,45,3514,1050,18993,83
2020/10/8,46,272,505,1976,20
2020/10/8,47,2705,1992,25318,59
2020/10/8,48,16334,4238,34428,0
2020/10/8,49,501,1501,9081,54
2020/10/8,50,3328,1844,17984,19
2020/10/8,51,20,1,93,0
2020/10/8,52,58,11,1370,0
2020/10/8,53,2177,545,25865,30
2020/10/8,54,1435,3274,13524,110
2020/10/8,55,370,186,6129,0
2020/10/8,56,54,193,904,8
2020/10/7,1,59,274,10426,0
2020/10/7,2,2601,941,7233,216
2020/10/7,3,1482,809,9202,82
2020/10/7,4,0,0,0,0
2020/10/7,5,5733,604,6675,63
2020/10/7,6,16228,2764,123521,0
2020/10/7,7,1983,654,7316,28
2020/10/7,8,4522,123,7488,0
2020/10/7,9,632,45,2582,0
2020/10/7,10,649,84,1576,0
2020/10/7,11,15084,2582,23551,258
2020/10/7,12,7259,1492,11903,154
2020/10/7,13,57,54,422,0
2020/10/7,14,160,83,1166,0
2020/10/7,15,1415,950,4264,0
2020/10/7,16,492,660,1295,21
2020/10/7,17,9127,2630,56190,0
2020/10/7,18,3727,1281,7417,106
2020/10/7,19,723,1244,7048,85
2020/10/7,20,1223,2393,13623,57
2020/10/7,21,5604,2156,21979,0
2020/10/7,22,9557,535,15625,32
2020/10/7,23,3973,460,8217,52
2020/10/7,24,142,39,6490,2
2020/10/7,25,7169,1214,33459,0
2020/10/7,26,2154,911,7494,69
2020/10/7,27,2236,1068,6808,0
2020/10/7,28,2,0,0,0
2020/10/7,29,3051,1538,0,0
2020/10/7,30,193,716,2740,47
2020/10/7,31,3693,1711,16876,0
2020/10/7,32,226,493,1093,27
2020/10/7,33,507,498,4483,29
2020/10/7,34,448,69,1588,2
2020/10/7,35,16152,508,22615,62
2020/10/7,36,894,315,6023,28
2020/10/7,37,1636,431,1346,0
2020/10/7,38,25545,1360,106886,0
2020/10/7,39,4970,1424,29473,119
2020/10/7,40,1075,1006,9556,113
2020/10/7,41,583,294,4876,25
2020/10/7,42,8272,1309,15550,0
2020/10/7,43,705,31,0,0
2020/10/7,44,1126,180,3089,24
2020/10/7,45,3502,735,6725,61
2020/10/7,46,258,1030,6273,27
2020/10/7,47,2642,2080,20181,59
2020/10/7,48,16230,4121,24071,0
2020/10/7,49,496,1007,4832,55
2020/10/7,50,3303,509,15670,154
2020/10/7,51,20,-1,118,0
2020/10/7,52,58,6,574,0
2020/10/7,53,2165,387,9273,51
2020/10/7,54,1426,2463,11188,141
2020/10/7,55,369,203,3589,0
2020/10/7,56,53,129,1034,1
2020/10/6,1,58,0,0,0
2020/10/6,2,2580,764,4702,0
2020/10/6,3,1447,641,7995,72
2020/10/6,4,0,0,0,0
2020/10/6,5,5713,864,7733,-2316
2020/10/6,6,16177,1677,127063,0
2020/10/6,7,1968,461,6341,20
2020/10/6,8,4521,121,17592,0
2020/10/6,9,631,105,8356,0
2020/10/6,10,646,103,1575,0
2020/10/6,11,14945,2251,18644,237
2020/10/6,12,7229,936,11099,167
2020/10/6,13,55,61,586,0
2020/10/6,14,157,50,866,0
2020/10/6,15,1400,474,2355,0
2020/10/6,16,487,458,1369,8
2020/10/6,17,9085,1617,47896,0
2020/10/6,18,3711,970,6074,85
2020/10/6,19,706,0,0,0
2020/10/6,20,1218,1036,11440,65
2020/10/6,21,5592,532,12228,0
2020/10/6,22,9538,495,12331,20
2020/10/6,23,3967,413,6497,46
2020/10/6,24,142,20,2518,3
2020/10/6,25,7161,1152,24983,0
2020/10/6,26,2140,941,7618,80
2020/10/6,27,2200,1165,7306,0
2020/10/6,28,2,0,0,0
2020/10/6,29,3013,0,0,0
2020/10/6,30,192,500,2245,19
2020/10/6,31,3670,1504,21266,0
2020/10/6,32,217,502,933,29
2020/10/6,33,503,452,3609,10
2020/10/6,34,446,51,1761,0
2020/10/6,35,16147,629,0,0
2020/10/6,36,894,155,6496,20
2020/10/6,37,1629,479,1689,0
2020/10/6,38,25536,1393,94966,0
2020/10/6,39,4947,1335,38451,132
2020/10/6,40,1066,1364,29641,142
2020/10/6,41,581,291,4095,23
2020/10/6,42,8244,1036,11040,0
2020/10/6,43,696,432,0,0
2020/10/6,44,1125,177,2643,14
2020/10/6,45,3471,811,13219,48
2020/10/6,46,248,278,756,28
2020/10/6,47,2621,1676,23942,53
2020/10/6,48,16111,4132,60439,0
2020/10/6,49,488,716,8705,39
2020/10/6,50,3291,625,13629,220
2020/10/6,51,20,0,0,0
2020/10/6,52,58,4,-69,0
2020/10/6,53,2158,402,15106,-6
2020/10/6,54,1410,2075,9539,108
2020/10/6,55,364,194,2828,0
2020/10/6,56,53,141,379,10
2020/10/5,1,58,211,2345,0
2020/10/5,2,2559,544,4518,279
2020/10/5,3,1447,417,6409,36
2020/10/5,4,0,0,0,0
2020/10/5,5,5707,316,6436,9
2020/10/5,6,16149,3055,138339,0
2020/10/5,7,1968,521,7903,7
2020/10/5,8,4517,823,49488,0
2020/10/5,9,631,28,1715,0
2020/10/5,10,645,120,1626,0
2020/10/5,11,14886,1415,14394,67
2020/10/5,12,7192,789,13350,29
2020/10/5,13,55,54,555,0
2020/10/5,14,156,70,1893,4
2020/10/5,15,1389,364,2083,0
2020/10/5,16,482,262,1569,3
2020/10/5,17,9054,1853,36685,0
2020/10/5,18,3681,830,6282,91
2020/10/5,19,706,1597,8392,53
2020/10/5,20,1214,541,18265,195
2020/10/5,21,5586,218,7132,0
2020/10/5,22,9530,515,10800,6
2020/10/5,23,3961,501,7969,40
2020/10/5,24,142,26,17315,0
2020/10/5,25,7139,1455,53098,0
2020/10/5,26,2136,973,12985,53
2020/10/5,27,2174,987,6936,0
2020/10/5,28,2,2,9,0
2020/10/5,29,3013,215,65812,78
2020/10/5,30,190,212,12350,10
2020/10/5,31,3637,2258,30690,0
2020/10/5,32,191,312,748,14
2020/10/5,33,501,404,3195,9
2020/10/5,34,444,35,2012,0
2020/10/5,35,16138,511,23453,17
2020/10/5,36,892,181,6252,12
2020/10/5,37,1623,337,2838,0
2020/10/5,38,25527,933,75471,0
2020/10/5,39,4931,1057,30454,73
2020/10/5,40,1055,665,0,104
2020/10/5,41,572,279,3297,39
2020/10/5,42,8227,672,9317,0
2020/10/5,43,695,630,0,0
2020/10/5,44,1121,50,641,0
2020/10/5,45,3456,577,10443,24
2020/10/5,46,248,180,488,10
2020/10/5,47,2597,2489,41787,40
2020/10/5,48,16033,3409,30383,0
2020/10/5,49,482,1105,4181,39
2020/10/5,50,3276,687,24597,93
2020/10/5,51,20,-5,243,0
2020/10/5,52,58,32,954,0
2020/10/5,53,2142,455,12488,17
2020/10/5,54,1392,1727,6864,56
2020/10/5,55,361,114,6338,0
2020/10/5,56,53,125,2469,12
2020/10/4,1,58,189,3373,0
2020/10/4,2,2558,789,5754,0
2020/10/4,3,1425,488,7150,23
2020/10/4,4,0,0,0,0
2020/10/4,5,5706,355,7647,14
2020/10/4,6,16120,4293,157106,0
