Country,Nationality
Afghanistan,Afghan
Åland Islands,Åland Island
Albania,Albanian
Algeria,Algerian
American Samoa,American Samoan
Andorra,Andorran
Angola,Angolan
Anguilla,Anguillan
Antarctica,Antarctic
Antigua and Barbuda,Antiguan or Barbudan
Argentina,Argentine
Armenia,Armenian
Aruba,Aruban
Australia,Australian
Austria,Austrian
Azerbaijan,"Azerbaijani, Azeri"
Bahamas,Bahamian
Bahrain,Bahraini
Bangladesh,Bangladeshi
Barbados,Barbadian
Belarus,Belarusian
Belgium,Belgian
Belize,Belizean
Benin,"Beninese, Beninois"
Bermuda,"Bermudian, Bermudan"
Bhutan,Bhutanese
Bolivia (Plurinational State of),Bolivian
"Bonaire, Sint Eustatius and Saba",Bonaire
Bosnia and Herzegovina,Bosnian or Herzegovinian
Botswana,"Motswana, Botswanan"
Bouvet Island,Bouvet Island
Brazil,Brazilian
British Indian Ocean Territory,BIOT
Brunei Darussalam,Bruneian
Bulgaria,Bulgarian
Burkina Faso,Burkinabé
Burundi,Burundian
Cabo Verde,Cabo Verdean
Cambodia,Cambodian
Cameroon,Cameroonian
Canada,Canadian
Cayman Islands,Caymanian
Central African Republic,Central African
Chad,Chadian
Chile,Chilean
China,Chinese
Christmas Island,Christmas Island
Cocos (Keeling) Islands,Cocos Island
Colombia,Colombian
Comoros,"Comoran, Comorian"
Congo (Republic of the),Congolese
Congo (Democratic Republic of the),Congolese
Cook Islands,Cook Island
Costa Rica,Costa Rican
Côte d'Ivoire,Ivorian
Croatia,Croatian
Cuba,Cuban
Curaçao,Curaçaoan
Cyprus,Cypriot
Czech Republic,Czech
Denmark,Danish
Djibouti,Djiboutian
Dominica,Dominican
Dominican Republic,Dominican
Ecuador,Ecuadorian
Egypt,Egyptian
El Salvador,Salvadoran
Equatorial Guinea,"Equatorial Guinean, Equatoguinean"
Eritrea,Eritrean
Estonia,Estonian
Ethiopia,Ethiopian
Falkland Islands (Malvinas),Falkland Island
Faroe Islands,Faroese
Fiji,Fijian
Finland,Finnish
France,French
French Guiana,French Guianese
French Polynesia,French Polynesian
French Southern Territories,French Southern Territories
Gabon,Gabonese
Gambia,Gambian
Georgia,Georgian
Germany,German
Ghana,Ghanaian
Gibraltar,Gibraltar
Greece,"Greek, Hellenic"
Greenland,Greenlandic
Grenada,Grenadian
Guadeloupe,Guadeloupe
Guam,"Guamanian, Guambat"
Guatemala,Guatemalan
Guernsey,Channel Island
Guinea,Guinean
Guinea-Bissau,Bissau-Guinean
Guyana,Guyanese
Haiti,Haitian
Heard Island and McDonald Islands,Heard Island or McDonald Islands
Vatican City State,Vatican
Honduras,Honduran
Hong Kong,"Hong Kong, Hong Kongese"
Hungary,"Hungarian, Magyar"
Iceland,Icelandic
India,Indian
Indonesia,Indonesian
Iran,"Iranian, Persian"
Iraq,Iraqi
Ireland,Irish
Isle of Man,Manx
Israel,Israeli
Italy,Italian
Jamaica,Jamaican
Japan,Japanese
Jersey,Channel Island
Jordan,Jordanian
Kazakhstan,"Kazakhstani, Kazakh"
Kenya,Kenyan
Kiribati,I-Kiribati
Korea (Democratic People's Republic of),North Korean
Korea (Republic of),South Korean
Kuwait,Kuwaiti
Kyrgyzstan,"Kyrgyzstani, Kyrgyz, Kirgiz, Kirghiz"
Lao People's Democratic Republic,"Lao, Laotian"
Latvia,Latvian
Lebanon,Lebanese
Lesotho,Basotho
Liberia,Liberian
Libya,Libyan
Liechtenstein,Liechtenstein
Lithuania,Lithuanian
Luxembourg,"Luxembourg, Luxembourgish"
Macao,"Macanese, Chinese"
Macedonia (the former Yugoslav Republic of),Macedonian
Madagascar,Malagasy
Malawi,Malawian
Malaysia,Malaysian
Maldives,Maldivian
Mali,"Malian, Malinese"
Malta,Maltese
Marshall Islands,Marshallese
Martinique,"Martiniquais, Martinican"
Mauritania,Mauritanian
Mauritius,Mauritian
Mayotte,Mahoran
Mexico,Mexican
Micronesia (Federated States of),Micronesian
Moldova (Republic of),Moldovan
Monaco,"Monégasque, Monacan"
Mongolia,Mongolian
Montenegro,Montenegrin
Montserrat,Montserratian
Morocco,Moroccan
Mozambique,Mozambican
Myanmar,Burmese
Namibia,Namibian
Nauru,Nauruan
Nepal,"Nepali, Nepalese"
Netherlands,"Dutch, Netherlandic"
New Caledonia,New Caledonian
New Zealand,"New Zealand, NZ"
Nicaragua,Nicaraguan
Niger,Nigerien
Nigeria,Nigerian
Niue,Niuean
Norfolk Island,Norfolk Island
Northern Mariana Islands,Northern Marianan
Norway,Norwegian
Oman,Omani
Pakistan,Pakistani
Palau,Palauan
"Palestine, State of",Palestinian
Panama,Panamanian
Papua New Guinea,"Papua New Guinean, Papuan"
Paraguay,Paraguayan
Peru,Peruvian
Philippines,"Philippine, Filipino"
Pitcairn,Pitcairn Island
Poland,Polish
Portugal,Portuguese
Puerto Rico,Puerto Rican
Qatar,Qatari
Réunion,"Réunionese, Réunionnais"
Romania,Romanian
Russian Federation,Russian
Rwanda,Rwandan
Saint Barthélemy,Barthélemois
"Saint Helena, Ascension and Tristan da Cunha",Saint Helenian
Saint Kitts and Nevis,Kittitian or Nevisian
Saint Lucia,Saint Lucian
Saint Martin (French part),Saint-Martinoise
Saint Pierre and Miquelon,Saint-Pierrais or Miquelonnais
Saint Vincent and the Grenadines,"Saint Vincentian, Vincentian"
Samoa,Samoan
San Marino,Sammarinese
Sao Tome and Principe,São Toméan
Saudi Arabia,"Saudi, Saudi Arabian"
Senegal,Senegalese
Serbia,Serbian
Seychelles,Seychellois
Sierra Leone,Sierra Leonean
Singapore,Singaporean
Sint Maarten (Dutch part),Sint Maarten
Slovakia,Slovak
Slovenia,"Slovenian, Slovene"
Solomon Islands,Solomon Island
Somalia,"Somali, Somalian"
South Africa,South African
South Georgia and the South Sandwich Islands,South Georgia or South Sandwich Islands
South Sudan,South Sudanese
Spain,Spanish
Sri Lanka,Sri Lankan
Sudan,Sudanese
Suriname,Surinamese
Svalbard and Jan Mayen,Svalbard
Swaziland,Swazi
Sweden,Swedish
Switzerland,Swiss
Syrian Arab Republic,Syrian
"Taiwan, Province of China","Chinese, Taiwanese"
Tajikistan,Tajikistani
"Tanzania, United Republic of",Tanzanian
Thailand,Thai
Timor-Leste,Timorese
Togo,Togolese
Tokelau,Tokelauan
Tonga,Tongan
Trinidad and Tobago,Trinidadian or Tobagonian
Tunisia,Tunisian
Turkey,Turkish
