id,name,location,country,url
1,Albert Park Grand Prix Circuit,Melbourne,Australia,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
2,Sepang International Circuit,Kuala Lumpur,Malaysia,http://en.wikipedia.org/wiki/Sepang_International_Circuit
3,Bahrain International Circuit,Sakhir,Bahrain,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
4,Circuit de Barcelona-Catalunya,MontmelÃ,Spain,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
5,Istanbul Park,Istanbul,Turkey,http://en.wikipedia.org/wiki/Istanbul_Park
6,Circuit de Monaco,Monte-Carlo,Monaco,http://en.wikipedia.org/wiki/Circuit_de_Monaco
7,Circuit Gilles Villeneuve,Montreal,Canada,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
8,Circuit de Nevers Magny-Cours,Magny Cours,France,http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours
9,Silverstone Circuit,Silverstone,United Kingdom,http://en.wikipedia.org/wiki/Silverstone_Circuit
10,Hockenheimring,Hockenheim,Germany,http://en.wikipedia.org/wiki/Hockenheimring
11,Hungaroring,Budapest,Hungary,http://en.wikipedia.org/wiki/Hungaroring
12,Valencia Street Circuit,Valencia,Spain,http://en.wikipedia.org/wiki/Valencia_Street_Circuit
13,Circuit de Spa-Francorchamps,Spa,Belgium,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
14,Autodromo Nazionale di Monza,Monza,Italy,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
15,Marina Bay Street Circuit,Marina Bay,Singapore,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
16,Fuji Speedway,Oyama,Japan,http://en.wikipedia.org/wiki/Fuji_Speedway
17,Shanghai International Circuit,Shanghai,China,http://en.wikipedia.org/wiki/Shanghai_International_Circuit
18,Autódromo José Carlos Pace,São Paulo,Brazil,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
19,Indianapolis Motor Speedway,Indianapolis,United States of America,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
20,Nãrburgring,Nãrburg,Germany,http://en.wikipedia.org/wiki/N%C3%BCrburgring
21,Autodromo Enzo e Dino Ferrari,Imola,Italy,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari
22,SuzUnited Kingdoma Circuit,SuzUnited Kingdoma,Japan,http://en.wikipedia.org/wiki/SuzUnited Kingdoma_Circuit
23,A1-Ring,Spielburg,Austria,http://en.wikipedia.org/wiki/A1-Ring
24,Yas Marina Circuit,Abu Dhabi,United Arab Emirates,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
25,AutÃ_dromo Juan y Oscar GÃ¡lvez,Buenos Aires,Argentina,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez
26,Circuito de Jerez,Jerez de la Frontera,Spain,http://en.wikipedia.org/wiki/Circuito_Permanente_de_Jerez
27,AutÃ_dromo do Estoril,Estoril,Portugal,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril
28,Okayama International Circuit,Okayama,Japan,http://en.wikipedia.org/wiki/TI_Circuit
29,Adelaide Street Circuit,Adelaide,Australia,http://en.wikipedia.org/wiki/Adelaide_Street_Circuit
30,Kyalami,Midrand,South Africa,http://en.wikipedia.org/wiki/Kyalami
31,Donington Park,Castle Donington,United Kingdom,http://en.wikipedia.org/wiki/Donington_Park
32,AutÃ_dromo Hermanos RodrÃ_guez,Mexico City,Mexico,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
33,Phoenix street circuit,Phoenix,United States of America,http://en.wikipedia.org/wiki/Phoenix_street_circuit
34,Circuit Paul Ricard,Le Castellet,France,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit
35,Korean International Circuit,Yeongam County,Korea,http://en.wikipedia.org/wiki/Korean_International_Circuit
36,AutÃ_dromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet
37,Detroit Street Circuit,Detroit,United States of America,http://en.wikipedia.org/wiki/Detroit_street_circuit
38,Brands Hatch,Kent,United Kingdom,http://en.wikipedia.org/wiki/Brands_Hatch
39,Circuit Park Zandvoort,Zandvoort,Netherlands,http://en.wikipedia.org/wiki/Circuit_Zandvoort
40,Zolder,Heusden-Zolder,Belgium,http://en.wikipedia.org/wiki/Zolder
41,Dijon-Prenois,Dijon,France,http://en.wikipedia.org/wiki/Dijon-Prenois
42,Fair Park,Dallas,United States of America,http://en.wikipedia.org/wiki/Fair_Park
43,Long Beach,California,United States of America,"http://en.wikipedia.org/wiki/Long_Beach,_California"
44,Las Vegas Street Circuit,Nevada,United States of America,"http://en.wikipedia.org/wiki/Las_Vegas,_Nevada"
45,Jarama,Madrid,Spain,http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama
46,Watkins Glen,New York State,United States of America,http://en.wikipedia.org/wiki/Watkins_Glen_International
47,Scandinavian Raceway,Anderstorp,Sweden,http://en.wikipedia.org/wiki/Scandinavian_Raceway
48,Mosport International Raceway,Ontario,Canada,http://en.wikipedia.org/wiki/Mosport
49,MontjuÃ¯c,Barcelona,Spain,http://en.wikipedia.org/wiki/Montju%C3%AFc_circuit
50,Nivelles-Baulers,Brussels,Belgium,http://en.wikipedia.org/wiki/Nivelles-Baulers
51,Charade Circuit,Clermont-Ferrand,France,http://en.wikipedia.org/wiki/Charade_Circuit
52,Circuit Mont-Tremblant,Quebec,Canada,http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant
53,Rouen-Les-Essarts,Rouen,France,http://en.wikipedia.org/wiki/Rouen-Les-Essarts
54,Le Mans,Le Mans,France,http://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit
55,Reims-Gueux,Reims,France,http://en.wikipedia.org/wiki/Reims-Gueux
56,Prince George Circuit,Eastern Cape Province,South Africa,http://en.wikipedia.org/wiki/Prince_George_Circuit
57,Zeltweg,Styria,Austria,http://en.wikipedia.org/wiki/Zeltweg_Airfield
58,Aintree,Liverpool,United Kingdom,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit
59,Circuito da Boavista,Oporto,Portugal,http://en.wikipedia.org/wiki/Circuito_da_Boavista
60,Riverside International Raceway,California,United States of America,http://en.wikipedia.org/wiki/Riverside_International_Raceway
61,AVUS,Berlin,Germany,http://en.wikipedia.org/wiki/AVUS
62,Monsanto Park Circuit,Lisbon,Portugal,http://en.wikipedia.org/wiki/Monsanto_Park_Circuit
63,Sebring International Raceway,Florida,United States of America,http://en.wikipedia.org/wiki/Sebring_Raceway
64,Ain Diab,Casablanca,Morocco,http://en.wikipedia.org/wiki/Ain-Diab_Circuit
65,Pescara Circuit,Pescara,Italy,http://en.wikipedia.org/wiki/Pescara_Circuit
66,Circuit Bremgarten,Bern,Switzerland,http://en.wikipedia.org/wiki/Circuit_Bremgarten
67,Circuit de Pedralbes,Barcelona,Spain,http://en.wikipedia.org/wiki/Pedralbes_Circuit
68,Buddh International Circuit,Uttar Pradesh,India,http://en.wikipedia.org/wiki/Buddh_International_Circuit
69,Circuit of the Americas,Austin,United States of America,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
70,Red Bull Ring,Spielburg,Austria,http://en.wikipedia.org/wiki/Red_Bull_Ring
71,Sochi Autodrom,Sochi,Russia,http://en.wikipedia.org/wiki/Sochi_Autodrom
72,Port Imperial Street Circuit,New Jersey,United States of America,http://en.wikipedia.org/wiki/Port_Imperial_Street_Circuit
73,Baku City Circuit,Baku,Azerbaijan,http://en.wikipedia.org/wiki/Baku_City_Circuit
